_time;;;;;;;;;_difference
Float;;;Double;;;Fraction;;;Float;;;Double;;;Fraction;;
G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG
300,1229;326,5546;699,7403;358,714;328,0599;767,5845;0;0;0;8,26564693450928;0,126608073711395;0,00962173938751221;7,07884831308014E-09;5,37292155211588E-11;3,736756043482E-11;0;0;0
347,0186;333,4368;754,2144;387,1589;415,9819;802,2421;0;0;0;0,156652182340622;0,0211594365537167;0,0127555094659328;2,76721498146393E-09;3,28729370113745E-11;3,74185855911424E-11;0;0;0
341,8947;324,5974;732,3992;358,9931;383,3316;801,9837;0;0;0;0,773150146007538;0,00507319811731577;0,0027521476149559;6,98305369084551E-09;1,42632936711573E-11;1,20590377961083E-11;0;0;0
307,6869;336,7611;748,9154;517,6187;363,0136;811,4754;0;0;0;13,0128793716431;0,0388656929135323;0,0037263622507453;1,0372355439825E-09;5,53063411040666E-11;2,43003811517539E-11;0;0;0
327,1992;326,9941;770,0098;539,8469;392,3632;820,9455;0;0;0;2,57676029205322;0,500427484512329;0,143485188484192;5,16528674589234E-08;6,74838700545632E-10;6,48178642703723E-10;0;0;0
372,772;330,2172;808,2632;563,9132;391,5948;879,5365;0;0;0;1,21579837799072;0,0559832006692886;0,0358297638595104;4,55961318701625E-09;3,32043481252042E-11;1,47539758188486E-11;0;0;0
329,0996;361,9988;805,8146;400,5196;390,976;852,3905;0;0;0;0,681169629096985;0,00357662793248892;0,00901939533650875;7,21575647323613E-10;1,24071031226691E-11;7,30123947412231E-12;0;0;0
374,1925;371,8618;877,459;450,323;490,2324;934,9394;0;0;0;1,79577088356018;0,00643481593579054;0,00425649993121624;1,40016000182985E-09;8,35371615631741E-12;1,21303019712249E-11;0;0;0
380,881;370,6698;892,9851;665,4362;513,3204;1030,9077;0;0;0;4,26706218719482;0,00298522971570492;0,00524270907044411;6,64277828056614E-09;8,71360102128182E-12;3,22402729513449E-11;0;0;0
381,442;370,6812;895,7429;434,5304;425,0747;943,2098;0;0;0;26,215145111084;0,0195852238684893;0,0238940604031086;2,11072061100104E-07;2,02119120051858E-11;8,8679522058932E-11;0;0;0
398,6323;488,6278;915,585;486,4901;526,9854;1029,6183;0;0;0;2,84537696838379;0,0308669395744801;0,00619854405522347;2,49525182807742E-09;2,6575558594033E-11;5,6364739264847E-11;0;0;0
394,5136;415,3494;917,6898;433,0034;449,1586;1007,4602;0;0;0;2,10676646232605;0,105880610644817;0,0234491266310215;8,03369796381626E-09;1,601516679689E-10;1,61470385673379E-11;0;0;0
408,6156;406,0876;931,0593;416,4149;509,5109;998,8542;0;0;0;2,0503408908844;0,00441181054338813;0,00512160360813141;3,87702619314423E-09;1,93659923167222E-11;1,61329664905008E-11;0;0;0
