x;funkcja biblioteczna; blad bezwzgledny od przodu;blad bezwzgledny od tylu;blad bezwzgledny ciagu p.;blad bezwzgledny ciagu t.
0.564200;0.4473745111853056;0.0000000000000026;0.0000000000000027;0.0000000000000026;0.0000000000000014
0.564400;0.4475023638991536;0.0000000000000028;0.0000000000000027;0.0000000000000028;0.0000000000000018
0.564600;0.4476302002687748;0.0000000000000027;0.0000000000000028;0.0000000000000027;0.0000000000000015
0.564800;0.4477580202983474;0.0000000000000029;0.0000000000000028;0.0000000000000029;0.0000000000000016
0.565000;0.4478858239920481;0.0000000000000028;0.0000000000000029;0.0000000000000028;0.0000000000000016
0.565200;0.4480136113540519;0.0000000000000029;0.0000000000000029;0.0000000000000029;0.0000000000000018
0.565400;0.4481413823885322;0.0000000000000028;0.0000000000000029;0.0000000000000028;0.0000000000000016
0.565600;0.4482691370996610;0.0000000000000029;0.0000000000000030;0.0000000000000029;0.0000000000000016
0.565800;0.4483968754916083;0.0000000000000032;0.0000000000000031;0.0000000000000032;0.0000000000000017
0.566000;0.4485245975685429;0.0000000000000033;0.0000000000000031;0.0000000000000033;0.0000000000000013
0.566200;0.4486523033346318;0.0000000000000030;0.0000000000000032;0.0000000000000030;0.0000000000000016
0.566400;0.4487799927940404;0.0000000000000029;0.0000000000000032;0.0000000000000029;0.0000000000000017
0.566600;0.4489076659509326;0.0000000000000031;0.0000000000000033;0.0000000000000031;0.0000000000000018
0.566800;0.4490353228094707;0.0000000000000032;0.0000000000000034;0.0000000000000032;0.0000000000000018
0.567000;0.4491629633738153;0.0000000000000034;0.0000000000000034;0.0000000000000034;0.0000000000000021
0.567200;0.4492905876481255;0.0000000000000036;0.0000000000000034;0.0000000000000036;0.0000000000000020
0.567400;0.4494181956365587;0.0000000000000036;0.0000000000000035;0.0000000000000037;0.0000000000000022
0.567600;0.4495457873432708;0.0000000000000033;0.0000000000000036;0.0000000000000033;0.0000000000000017
0.567800;0.4496733627724163;0.0000000000000039;0.0000000000000037;0.0000000000000039;0.0000000000000025
0.568000;0.4498009219281476;0.0000000000000038;0.0000000000000037;0.0000000000000037;0.0000000000000023
0.568200;0.4499284648146160;0.0000000000000038;0.0000000000000038;0.0000000000000038;0.0000000000000021
0.568400;0.4500559914359710;0.0000000000000038;0.0000000000000039;0.0000000000000038;0.0000000000000024
0.568600;0.4501835017963605;0.0000000000000041;0.0000000000000039;0.0000000000000041;0.0000000000000026
0.568800;0.4503109958999310;0.0000000000000041;0.0000000000000040;0.0000000000000041;0.0000000000000019
0.569000;0.4504384737508270;0.0000000000000040;0.0000000000000041;0.0000000000000039;0.0000000000000022
0.569200;0.4505659353531919;0.0000000000000042;0.0000000000000041;0.0000000000000042;0.0000000000000022
0.569400;0.4506933807111673;0.0000000000000043;0.0000000000000042;0.0000000000000043;0.0000000000000028
